Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,8190.84,6301.96
stencil_1d,heft_test,194.11,14367.69,7779.5,6588.19
stencil_1d_periodic,heft_test,194.06,14377.98,7796.36,6581.62
dom,heft_test,59.41,2996.92,1883.36,1113.56
tree,heft_test,192.57,13213.82,6962.58,6251.24
fft,heft_test,192.97,14338.14,7826.04,6512.1
nearest,heft_test,196.29,14484.99,7837.63,6647.36
no_comm,heft_test,194.41,14435.41,7815.11,6620.3
spread -period 2,heft_test,194.69,14381.98,7816.73,6565.25
random_nearest,heft_test,192.48,14251.17,7765.4,6485.77
trivial,moheft_energy,176.24,21048.68,8901.53,12147.14
trivial,moheft_energy,285.45,9771.17,4291.87,5479.29
trivial,moheft_energy,286.31,9753.79,4292.02,5461.77
trivial,moheft_energy,286.87,9734.57,4292.02,5442.55
trivial,moheft_energy,287.4,9719.45,4292.17,5427.28
trivial,moheft_energy,288.32,9701.72,4292.31,5409.41
trivial,moheft_energy,288.44,9674.73,4304.99,5369.73
trivial,moheft_energy,288.53,9651.76,4304.99,5346.76
trivial,moheft_energy,288.72,9628.79,4304.99,5323.8
trivial,moheft_energy,288.75,9609.85,4304.99,5304.85
trivial,moheft_energy,288.75,9590.91,4304.99,5285.91
stencil_1d,moheft_energy,193.73,20506.75,8783.58,11723.17
stencil_1d,moheft_energy,340.3,8482.07,3122.58,5359.49
stencil_1d,moheft_energy,340.55,8403.88,3062.17,5341.71
stencil_1d,moheft_energy,340.96,8383.23,3062.17,5321.06
stencil_1d,moheft_energy,341.26,8366.73,3072.09,5294.64
stencil_1d,moheft_energy,341.42,8346.38,3072.09,5274.29
stencil_1d,moheft_energy,341.46,8327.47,3072.09,5255.38
stencil_1d,moheft_energy,341.85,8308.56,3072.09,5236.47
stencil_1d,moheft_energy,343.66,8300.89,3045.52,5255.36
stencil_1d,moheft_energy,344.28,8290.71,3045.38,5245.33
stencil_1d,moheft_energy,344.57,8283.53,3045.38,5238.15
stencil_1d_periodic,moheft_energy,194.06,20587.86,8725.64,11862.21
stencil_1d_periodic,moheft_energy,341.36,8648.57,3226.35,5422.22
stencil_1d_periodic,moheft_energy,341.43,8632.25,3210.29,5421.95
stencil_1d_periodic,moheft_energy,342.24,8621.41,3192.03,5429.38
stencil_1d_periodic,moheft_energy,342.66,8599.85,3201.78,5398.07
stencil_1d_periodic,moheft_energy,343.0,8595.58,3201.78,5393.8
stencil_1d_periodic,moheft_energy,343.41,8586.78,3192.64,5394.15
stencil_1d_periodic,moheft_energy,343.8,8567.87,3192.64,5375.24
stencil_1d_periodic,moheft_energy,343.8,8548.96,3192.31,5356.65
stencil_1d_periodic,moheft_energy,344.14,8519.02,3188.16,5330.86
stencil_1d_periodic,moheft_energy,344.48,8500.8,3167.95,5332.85
dom,moheft_energy,62.01,3797.48,1919.45,1878.03
dom,moheft_energy,101.31,1549.61,531.88,1017.73
dom,moheft_energy,101.31,1549.58,531.85,1017.73
dom,moheft_energy,101.42,1549.55,520.31,1029.24
dom,moheft_energy,103.26,1533.15,485.37,1047.78
dom,moheft_energy,103.26,1533.12,485.37,1047.75
dom,moheft_energy,103.28,1533.1,485.37,1047.73
dom,moheft_energy,103.27,1533.07,485.37,1047.7
dom,moheft_energy,103.38,1533.01,522.41,1010.61
dom,moheft_energy,103.38,1532.99,522.38,1010.61
dom,moheft_energy,103.39,1532.96,522.35,1010.61
tree,moheft_energy,192.91,20319.9,8159.09,12160.81
tree,moheft_energy,321.18,8586.89,3398.42,5188.46
tree,moheft_energy,321.5,8560.09,3383.16,5176.93
tree,moheft_energy,321.86,8537.3,3376.39,5160.91
tree,moheft_energy,321.99,8514.5,3360.95,5153.55
tree,moheft_energy,322.1,8489.22,3342.08,5147.14
tree,moheft_energy,322.19,8466.42,3318.9,5147.52
tree,moheft_energy,322.93,8462.18,3315.35,5146.83
tree,moheft_energy,323.04,8459.65,3320.59,5139.06
tree,moheft_energy,323.84,8455.39,3326.57,5128.82
tree,moheft_energy,327.6,8434.36,3302.67,5131.7
fft,moheft_energy,192.88,21061.14,9101.47,11959.67
fft,moheft_energy,326.48,8687.72,3317.48,5370.24
fft,moheft_energy,326.84,8668.81,3317.48,5351.33
fft,moheft_energy,328.08,8640.25,3318.21,5322.04
fft,moheft_energy,328.12,8624.96,3318.51,5306.46
fft,moheft_energy,328.3,8620.97,3318.51,5302.46
fft,moheft_energy,328.83,8596.58,3338.53,5258.04
fft,moheft_energy,329.55,8567.29,3304.19,5263.11
fft,moheft_energy,329.74,8548.38,3304.19,5244.19
fft,moheft_energy,329.99,8544.41,3304.19,5240.23
fft,moheft_energy,330.92,8518.31,3264.21,5254.1
nearest,moheft_energy,193.8,20402.12,8967.31,11434.81
nearest,moheft_energy,193.89,20369.51,8953.57,11415.94
nearest,moheft_energy,332.62,8644.68,3363.81,5280.87
nearest,moheft_energy,332.81,8631.69,3334.51,5297.18
nearest,moheft_energy,332.92,8614.73,3334.51,5280.21
nearest,moheft_energy,332.92,8614.72,3334.51,5280.2
nearest,moheft_energy,333.05,8595.38,3334.63,5260.75
