Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,3189.16,11303.64
stencil_1d,heft_test,196.43,14477.0,1946.14,12530.86
stencil_1d_periodic,heft_test,194.06,14375.39,1978.07,12397.32
dom,heft_test,59.41,2996.92,310.99,2685.93
tree,heft_test,193.35,13184.91,2807.53,10377.38
fft,heft_test,193.93,14330.79,2041.74,12289.05
nearest,heft_test,196.15,14485.11,1952.42,12532.69
no_comm,heft_test,194.41,14435.43,1945.74,12489.69
spread -period 2,heft_test,194.69,14381.98,1937.75,12444.23
random_nearest,heft_test,193.55,14256.2,2086.74,12169.47
trivial,moheft_energy,176.24,21048.68,3964.95,17083.73
trivial,moheft_energy,285.45,9771.17,4440.12,5331.04
trivial,moheft_energy,286.31,9753.79,4440.69,5313.1
trivial,moheft_energy,286.87,9734.57,4440.69,5293.88
trivial,moheft_energy,287.4,9719.45,4455.86,5263.59
trivial,moheft_energy,288.32,9701.72,4456.4,5245.32
trivial,moheft_energy,288.44,9674.73,4454.47,5220.25
trivial,moheft_energy,288.53,9651.76,4463.13,5188.63
trivial,moheft_energy,288.72,9628.79,4463.13,5165.66
trivial,moheft_energy,288.75,9609.85,4475.81,5134.04
trivial,moheft_energy,288.75,9590.91,4475.81,5115.09
stencil_1d,moheft_energy,195.03,20127.22,3096.6,17030.62
stencil_1d,moheft_energy,344.24,8300.43,3716.5,4583.93
stencil_1d,moheft_energy,344.29,8280.07,3707.96,4572.11
stencil_1d,moheft_energy,344.3,8259.67,3703.09,4556.58
stencil_1d,moheft_energy,344.75,8238.96,3688.41,4550.56
stencil_1d,moheft_energy,345.65,8228.9,3690.78,4538.12
stencil_1d,moheft_energy,345.66,8210.0,3692.06,4517.94
stencil_1d,moheft_energy,345.81,8191.1,3704.27,4486.83
stencil_1d,moheft_energy,347.98,8182.55,3713.55,4469.0
stencil_1d,moheft_energy,348.76,8164.16,3682.04,4482.12
stencil_1d_periodic,moheft_energy,194.42,20705.05,3052.55,17652.5
stencil_1d_periodic,moheft_energy,333.55,8887.52,3770.11,5117.41
