Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14692.72,8247.93,6444.79
stencil_1d,heft_test,194.0,14544.61,7820.33,6724.28
stencil_1d_periodic,heft_test,194.35,14576.36,7872.84,6703.52
dom,heft_test,59.41,3035.02,1891.95,1143.07
tree,heft_test,192.42,13358.57,6994.53,6364.04
fft,heft_test,193.93,14527.06,7863.38,6663.68
nearest,heft_test,194.0,14544.61,7820.33,6724.28
no_comm,heft_test,194.41,14629.17,7856.74,6772.43
spread -period 2,heft_test,195.73,14651.77,7907.38,6744.39
random_nearest,heft_test,193.55,14450.54,7810.98,6639.56
trivial,moheft_energy,176.24,14692.72,8247.93,6444.79,344.33,8231.67,3063.44,5168.22,344.58,8223.84,3073.48,5150.36
stencil_1d,moheft_energy,195.5,14628.21,7868.63,6759.58,348.69,8106.76,2877.17,5229.59,349.88,8103.92,2877.34,5226.57
stencil_1d_periodic,moheft_energy,198.3,14661.02,7838.96,6822.05,354.15,8209.06,2852.08,5356.99,354.58,8205.59,2852.14,5353.45
dom,moheft_energy,62.49,3076.78,1891.33,1185.45,100.37,1521.64,449.57,1072.07,102.34,1505.03,442.64,1062.39
tree,moheft_energy,188.53,13187.13,6878.2,6308.93,376.41,7761.19,2614.99,5146.2,377.13,7757.96,2599.31,5158.65
fft,moheft_energy,192.98,14529.17,7862.27,6666.9,347.66,8113.66,2852.85,5260.82,347.82,8109.78,2855.97,5253.8
nearest,moheft_energy,195.68,14632.78,7874.27,6758.51,350.19,8109.26,2827.2,5282.07,351.4,8106.44,2827.37,5279.07
no_comm,moheft_energy,206.39,14578.74,7715.77,6862.96,358.58,8222.37,2682.03,5540.35,358.64,8218.42,2678.02,5540.4
spread -period 2,moheft_energy,194.95,14554.58,7843.27,6711.31,346.58,8177.15,2811.73,5365.42,347.22,8173.84,2824.8,5349.04
random_nearest,moheft_energy,202.39,14444.88,7711.86,6733.02,359.42,8215.63,2722.39,5493.24,360.58,8212.76,2722.56,5490.2
trivial,moheft_green_energy,176.24,14692.72,8244.21,6448.51,760.16,11660.96,7530.1,4130.86,764.99,11668.95,7541.92,4127.04
stencil_1d,moheft_green_energy,197.64,14688.34,7898.55,6789.79,692.97,11703.01,11367.76,335.25,693.53,11726.39,11399.79,326.6
stencil_1d_periodic,moheft_green_energy,195.1,14570.66,7844.45,6726.21,700.31,11874.62,11532.06,342.56,700.75,11878.93,11545.09,333.84
dom,moheft_green_energy,60.49,3064.03,2113.17,950.86,184.63,1736.04,1696.57,39.47,186.59,1719.42,1685.51,33.91
tree,moheft_green_energy,193.16,13391.54,7507.69,5883.85,1005.4,10901.22,10377.92,523.3,1005.48,10897.35,10378.49,518.86
fft,moheft_green_energy,194.39,14570.49,7861.83,6708.66,720.32,11629.39,11272.91,356.48,720.69,11633.64,11285.92,347.72
nearest,moheft_green_energy,197.77,14664.75,7886.86,6777.89,693.82,11657.53,11317.0,340.53,694.12,11661.72,11329.99,331.73
no_comm,moheft_green_energy,197.03,14670.35,7897.55,6772.8,706.65,11810.97,11464.99,345.98,709.58,11838.37,11499.69,338.68
spread -period 2,moheft_green_energy,195.35,14599.91,7851.45,6748.46,708.74,11787.04,11435.26,351.78,710.12,11788.82,11448.77,340.05
random_nearest,moheft_green_energy,195.14,14548.81,7906.21,6642.61,699.39,11891.38,11548.2,343.18,699.66,11914.52,11580.15,334.37
