Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14692.72,3770.06,10922.66
stencil_1d,heft_test,194.0,14544.61,3826.64,10717.97
stencil_1d_periodic,heft_test,193.9,14555.24,3834.46,10720.77
dom,heft_test,59.41,3035.02,596.71,2438.31
tree,heft_test,192.76,13394.98,4057.12,9337.86
fft,heft_test,192.97,14532.85,3775.61,10757.24
nearest,heft_test,194.0,14544.61,3826.64,10717.97
no_comm,heft_test,194.41,14629.17,3892.51,10736.66
spread -period 2,heft_test,195.73,14651.77,3864.6,10787.17
random_nearest,heft_test,193.55,14450.54,3791.22,10659.32
trivial,moheft_energy,176.24,14692.72,3770.06,10922.66,344.33,8231.67,3796.48,4435.19,344.58,8223.84,3806.55,4417.29
stencil_1d,moheft_energy,194.8,14551.77,3860.44,10691.33,348.15,8109.63,3991.72,4117.9,350.19,8108.74,3987.58,4121.16
stencil_1d_periodic,moheft_energy,196.09,14586.32,3870.33,10715.99,353.93,8208.25,4073.87,4134.37,354.6,8204.98,4056.22,4148.76
dom,moheft_energy,62.49,3076.78,667.98,2408.8,100.37,1521.64,409.56,1112.09,102.34,1505.03,388.83,1116.2
tree,moheft_energy,188.67,13210.3,3994.38,9215.92,376.14,7760.97,4248.6,3512.37,376.86,7757.74,4258.8,3498.94
fft,moheft_energy,192.78,14470.24,3774.74,10695.51,347.13,8112.6,3981.07,4131.53,347.3,8108.72,3992.01,4116.72
nearest,moheft_energy,196.68,14661.66,3913.24,10748.42,349.66,8108.2,4012.78,4095.42,350.68,8105.21,4014.99,4090.22
no_comm,moheft_energy,205.07,14628.54,3988.73,10639.81,357.97,8221.25,4111.37,4109.88,358.21,8217.44,4121.44,4095.99
spread -period 2,moheft_energy,195.06,14578.79,3884.13,10694.67,348.35,8213.34,4056.36,4156.99,348.93,8175.9,4025.04,4150.86
random_nearest,moheft_energy,202.39,14444.88,3895.26,10549.63,359.42,8215.63,4137.58,4078.05,360.58,8212.76,4122.11,4090.65
trivial,moheft_green_energy,176.24,14692.72,3762.64,10930.08,308.3,13483.09,5629.1,7854.0,909.08,10881.54,9285.42,1596.12
stencil_1d,moheft_green_energy,196.76,14671.05,4117.13,10553.92,510.12,10480.78,10165.25,315.53,511.52,10491.48,10179.6,311.88
stencil_1d_periodic,moheft_green_energy,196.25,14620.57,4075.59,10544.98,515.12,10463.05,10146.98,316.07,515.2,10463.12,10150.9,312.23
dom,moheft_green_energy,63.11,3125.24,663.25,2461.99,159.0,2644.97,2507.56,137.41,159.42,2622.98,2517.68,105.3
tree,moheft_green_energy,189.74,13315.72,4047.68,9268.04,577.37,10098.37,9747.99,350.38,577.65,10098.61,9750.34,348.27
fft,moheft_green_energy,193.37,14535.03,4031.69,10503.34,510.01,10479.22,10163.63,315.59,510.15,10479.86,10168.66,311.2
nearest,moheft_green_energy,196.76,14671.05,4117.13,10553.92,510.12,10480.78,10165.25,315.53,511.52,10491.48,10179.6,311.88
no_comm,moheft_green_energy,201.66,14709.66,4202.78,10506.89,511.07,10667.57,10352.0,315.57,511.88,10664.48,10351.94,312.54
spread -period 2,moheft_green_energy,195.86,14653.71,4068.02,10585.69,503.9,10532.21,10216.33,315.88,507.98,10540.27,10226.7,313.57
random_nearest,moheft_green_energy,199.12,14576.6,4220.56,10356.04,514.87,10611.78,10301.16,310.63,515.53,10595.5,10288.77,306.72
