makespan,brown energy,algorithm,topology
176.24,11438.98,HEFT,trivial
196.29,12700.79,HEFT,stencil_1d
193.89,12544.98,HEFT,stencil_1d_periodic
59.41,2714.77,HEFT,dom
192.83,10552.01,HEFT,tree
192.97,12441.26,HEFT,fft
194.41,12641.16,HEFT,no_comm
194.69,12605.55,HEFT,spread -period 2
176.24,11438.98,MOHEFT,trivial
344.33,4259.22,MOHEFT,trivial
344.58,4269.29,MOHEFT,trivial
195.5,12639.78,MOHEFT,stencil_1d
348.69,4391.24,MOHEFT,stencil_1d
349.88,4401.57,MOHEFT,stencil_1d
196.09,12583.34,MOHEFT,stencil_1d_periodic
354.01,4457.64,MOHEFT,stencil_1d_periodic
354.46,4484.28,MOHEFT,stencil_1d_periodic
62.49,2781.14,MOHEFT,dom
100.37,629.38,MOHEFT,dom
102.34,599.15,MOHEFT,dom
188.8,10420.69,MOHEFT,tree
376.45,4407.25,MOHEFT,tree
377.78,4393.76,MOHEFT,tree
193.71,12441.31,MOHEFT,fft
346.22,4349.15,MOHEFT,fft
346.57,4353.66,MOHEFT,fft
206.09,12633.15,MOHEFT,no_comm
359.23,4523.2,MOHEFT,no_comm
359.3,4533.22,MOHEFT,no_comm
196.13,12633.06,MOHEFT,spread -period 2
347.55,4447.2,MOHEFT,spread -period 2
347.79,4441.08,MOHEFT,spread -period 2
176.24,11438.98,G-MOHEFT,trivial
957.26,3760.56,G-MOHEFT,trivial
967.33,3758.42,G-MOHEFT,trivial
196.36,12610.98,G-MOHEFT,stencil_1d
746.54,419.63,G-MOHEFT,stencil_1d
747.73,416.17,G-MOHEFT,stencil_1d
195.21,12575.08,G-MOHEFT,stencil_1d_periodic
783.08,467.26,G-MOHEFT,stencil_1d_periodic
783.89,462.98,G-MOHEFT,stencil_1d_periodic
61.18,2762.31,G-MOHEFT,dom
140.67,108.36,G-MOHEFT,dom
140.67,107.77,G-MOHEFT,dom
192.74,10429.97,G-MOHEFT,tree
827.56,1570.45,G-MOHEFT,tree
832.39,1564.22,G-MOHEFT,tree
194.08,12450.06,G-MOHEFT,fft
764.43,431.29,G-MOHEFT,fft
766.91,430.17,G-MOHEFT,fft
198,12557.07,G-MOHEFT,no_comm
763.42,486.78,G-MOHEFT,no_comm
763.85,478.12,G-MOHEFT,no_comm
195.39,12597.2,G-MOHEFT,spread -period 2
747.91,454.04,G-MOHEFT,spread -period 2
750.18,447.36,G-MOHEFT,spread -period 2
