Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,8190.84,6301.96
stencil_1d,heft_test,194.0,14350.79,7775.54,6575.25
stencil_1d_periodic,heft_test,194.35,14382.09,7828.31,6553.79
dom,heft_test,59.41,2996.92,1883.36,1113.56
tree,heft_test,192.82,13208.11,6979.02,6229.08
fft,heft_test,193.35,14311.71,7814.75,6496.97
nearest,heft_test,196.29,14484.99,7837.63,6647.36
no_comm,heft_test,194.41,14435.44,7815.14,6620.3
spread -period 2,heft_test,195.73,14456.12,7862.26,6593.86
random_nearest,heft_test,192.55,14251.63,7764.65,6486.98
trivial,moheft_energy,176.24,20339.89,8526.45,11813.44
stencil_1d,moheft_energy,194.2,18757.1,8031.42,10725.68
stencil_1d_periodic,moheft_energy,196.18,18679.54,7987.67,10691.86
dom,moheft_energy,60.78,4077.67,1928.69,2148.98
tree,moheft_energy,190.4,17716.09,6985.08,10731.01
fft,moheft_energy,193.31,19700.85,8035.27,11665.58
nearest,moheft_energy,196.61,18857.97,8048.05,10809.91
no_comm,moheft_energy,194.52,19305.11,8020.03,11285.08
spread -period 2,moheft_energy,195.1,19401.65,7956.85,11444.8
random_nearest,moheft_energy,193.93,18252.27,7969.9,10282.37
trivial,moheft_green_energy,176.24,20712.08,8589.32,12122.76
stencil_1d,moheft_green_energy,196.38,18799.36,8115.97,10683.39
stencil_1d_periodic,moheft_green_energy,195.7,18728.8,8039.16,10689.64
dom,moheft_green_energy,61.11,4114.91,2202.46,1912.45
tree,moheft_green_energy,193.62,18013.95,7604.28,10409.67
fft,moheft_green_energy,194.15,20110.57,7964.97,12145.59
nearest,moheft_green_energy,196.32,19535.21,8088.99,11446.22
no_comm,moheft_green_energy,196.69,19067.78,8078.85,10988.93
spread -period 2,moheft_green_energy,195.29,19303.1,7949.98,11353.11
random_nearest,moheft_green_energy,194.91,18744.82,8090.83,10653.99
