Task Id,Mean duration (seconds)
1,268.14023063999997
2,234.81762317
3,289.764426802
4,294.874050431
5,289.764426802
6,249.30581828
7,317.378138011
8,317.378138011
9,297.363480411
10,296.97428554500004
11,289.764426802
12,296.97428554500004
13,297.363480411
14,234.81762317
15,268.14023063999997
16,297.363480411
17,249.30581828
18,289.764426802
19,224.605834557
20,234.81762317
21,268.14023063999997
22,234.81762317
23,249.30581828
24,249.30581828
25,265.507280913
26,294.874050431
27,294.874050431
28,317.378138011
29,296.97428554500004
30,224.605834557
31,268.14023063999997
32,234.81762317
33,224.605834557
34,297.363480411
35,317.378138011
36,289.764426802
37,224.605834557
38,268.14023063999997
39,234.81762317
40,268.14023063999997
41,234.81762317
42,294.874050431
43,224.605834557
44,317.378138011
45,294.874050431
46,265.507280913
47,265.507280913
48,249.30581828
49,234.81762317
50,249.30581828
51,234.81762317
52,296.97428554500004
53,297.363480411
54,249.30581828
55,296.97428554500004
56,296.97428554500004
57,265.507280913
58,297.363480411
59,294.874050431
60,297.363480411
61,249.30581828
62,224.605834557
63,249.30581828
64,268.14023063999997
65,297.363480411
66,234.81762317
67,289.764426802
68,224.605834557
69,297.363480411
70,297.363480411
71,224.605834557
72,297.363480411
73,249.30581828
74,296.97428554500004
75,289.764426802
76,317.378138011
77,296.97428554500004
78,317.378138011
79,317.378138011
80,317.378138011
81,289.764426802
82,296.97428554500004
83,234.81762317
84,294.874050431
85,249.30581828
86,317.378138011
87,294.874050431
88,249.30581828
89,268.14023063999997
90,296.97428554500004
91,317.378138011
92,294.874050431
93,268.14023063999997
94,294.874050431
95,296.97428554500004
96,317.378138011
97,265.507280913
98,296.97428554500004
99,268.14023063999997
100,294.874050431
101,224.605834557
102,289.764426802
103,224.605834557
104,249.30581828
105,224.605834557
106,317.378138011
107,297.363480411
108,297.363480411
109,249.30581828
110,296.97428554500004
