makespan,brown energy,algorithm,topology
176.24,6444.79,HEFT,trivial
194,6724.28,HEFT,stencil_1d
194.35,6703.52,HEFT,stencil_1d_periodic
59.41,1143.07,HEFT,dom
192.42,6364.04,HEFT,tree
193.93,6663.68,HEFT,fft
194.41,6772.43,HEFT,no_comm
195.73,6744.39,HEFT,spread -period 2
176.24,6444.79,MOHEFT,trivial
344.33,5168.22,MOHEFT,trivial
344.58,5150.36,MOHEFT,trivial
195.5,6759.58,MOHEFT,stencil_1d
348.69,5229.59,MOHEFT,stencil_1d
349.88,5226.57,MOHEFT,stencil_1d
198.3,6822.05,MOHEFT,stencil_1d_periodic
354.15,5356.99,MOHEFT,stencil_1d_periodic
354.58,5353.45,MOHEFT,stencil_1d_periodic
62.49,1185.45,MOHEFT,dom
100.37,1072.07,MOHEFT,dom
102.34,1062.39,MOHEFT,dom
188.53,6308.93,MOHEFT,tree
376.41,5146.2,MOHEFT,tree
377.13,5158.65,MOHEFT,tree
192.98,6666.9,MOHEFT,fft
347.66,5260.82,MOHEFT,fft
347.82,5253.8,MOHEFT,fft
206.39,6862.96,MOHEFT,no_comm
358.58,5540.35,MOHEFT,no_comm
358.64,5540.4,MOHEFT,no_comm
194.95,6711.31,MOHEFT,spread -period 2
346.58,5365.42,MOHEFT,spread -period 2
347.22,5349.04,MOHEFT,spread -period 2
176.24,6448.51,G-MOHEFT,trivial
760.16,4130.86,G-MOHEFT,trivial
764.99,4127.04,G-MOHEFT,trivial
197.64,6789.79,G-MOHEFT,stencil_1d
692.97,335.25,G-MOHEFT,stencil_1d
693.53,326.6,G-MOHEFT,stencil_1d
195.1,6726.21,G-MOHEFT,stencil_1d_periodic
700.31,342.56,G-MOHEFT,stencil_1d_periodic
700.75,333.84,G-MOHEFT,stencil_1d_periodic
60.49,950.86,G-MOHEFT,dom
184.63,39.47,G-MOHEFT,dom
186.59,33.91,G-MOHEFT,dom
193.16,5883.85,G-MOHEFT,tree
1005.4,523.3,G-MOHEFT,tree
1005.48,518.86,G-MOHEFT,tree
194.39,6708.66,G-MOHEFT,fft
720.32,356.48,G-MOHEFT,fft
720.69,347.72,G-MOHEFT,fft
197.03,6772.8,G-MOHEFT,no_comm
706.65,345.98,G-MOHEFT,no_comm
709.58,338.68,G-MOHEFT,no_comm
195.35,6748.46,G-MOHEFT,spread -period 2
708.74,351.78,G-MOHEFT,spread -period 2
710.12,340.05,G-MOHEFT,spread -period 2
