Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,trivial,176.24,18513.53,4908.51,13605.02
heft_test,stencil_1d,196.29,18890.49,4195.5,14694.99
heft_test,stencil_1d_periodic,194.06,18762.23,4175.64,14586.59
heft_test,dom,59.41,3944.51,876.56,3067.95
heft_test,tree,192.69,16832.63,4598.99,12233.64
heft_test,fft,193.13,18688.63,4212.24,14476.39
heft_test,nearest,194.0,18722.43,4188.57,14533.87
heft_test,no_comm,194.41,18843.11,4204.92,14638.18
heft_test,spread -period 2,195.73,18878.05,4153.54,14724.51
heft_test,random_nearest,193.55,18564.77,4286.46,14278.3
moheft_energy,trivial,176.24,31405.06,6142.02,25263.04
moheft_energy,trivial,330.54,12444.26,7649.43,4794.83
moheft_energy,trivial,331.66,12441.06,7646.22,4794.83
moheft_energy,trivial,333.71,12436.07,7641.24,4794.83
moheft_energy,trivial,334.52,12430.16,7635.33,4794.83
moheft_energy,trivial,340.6,12381.0,7576.62,4804.38
moheft_energy,trivial,343.77,12369.41,7565.03,4804.38
moheft_energy,trivial,347.3,12352.3,7538.33,4813.96
moheft_energy,trivial,351.78,12311.94,7498.02,4813.93
moheft_energy,trivial,360.73,12283.26,7507.52,4775.74
moheft_energy,trivial,363.89,12282.99,7517.09,4765.9
moheft_energy,stencil_1d,195.68,32894.41,6817.8,26076.61
moheft_energy,stencil_1d,197.0,32877.72,6852.11,26025.6
moheft_energy,stencil_1d,197.0,32870.46,6879.53,25990.93
moheft_energy,stencil_1d,197.11,32870.17,6879.24,25990.93
moheft_energy,stencil_1d,334.69,11282.23,5884.39,5397.84
moheft_energy,stencil_1d,348.25,10019.02,6108.31,3910.71
moheft_energy,stencil_1d,349.7,10004.43,6130.78,3873.65
moheft_energy,stencil_1d,350.75,9961.26,6085.51,3875.76
moheft_energy,stencil_1d,350.91,9959.06,6083.3,3875.76
moheft_energy,stencil_1d,352.54,9958.84,6110.05,3848.79
moheft_energy,stencil_1d,355.81,9958.65,6109.86,3848.79
moheft_energy,stencil_1d_periodic,194.12,32986.83,6296.48,26690.34
moheft_energy,stencil_1d_periodic,194.62,32936.26,6264.41,26671.85
moheft_energy,stencil_1d_periodic,349.62,10171.7,6046.55,4125.15
moheft_energy,stencil_1d_periodic,349.78,10138.55,6056.1,4082.45
moheft_energy,stencil_1d_periodic,353.61,9870.21,6135.69,3734.52
moheft_energy,stencil_1d_periodic,354.18,9847.48,6152.55,3694.93
moheft_energy,stencil_1d_periodic,354.29,9843.73,6151.5,3692.23
moheft_energy,stencil_1d_periodic,355.26,9836.18,6148.79,3687.38
moheft_energy,stencil_1d_periodic,355.67,9834.52,6137.99,3696.53
moheft_energy,stencil_1d_periodic,356.09,9822.42,6137.99,3684.43
moheft_energy,stencil_1d_periodic,359.83,9822.23,6125.51,3696.71
moheft_energy,dom,61.41,5282.63,1211.39,4071.24
moheft_energy,dom,108.38,1794.83,1325.43,469.4
moheft_energy,dom,110.41,1793.61,1334.19,459.42
moheft_energy,dom,110.42,1789.93,1334.19,455.74
moheft_energy,dom,110.42,1767.93,1325.43,442.5
moheft_energy,dom,112.49,1766.74,1334.19,432.56
moheft_energy,dom,112.49,1752.56,1325.43,427.13
moheft_energy,dom,112.5,1741.07,1325.43,415.64
moheft_energy,dom,116.89,1730.0,1393.44,336.56
moheft_energy,dom,117.03,1724.56,1388.0,336.56
moheft_energy,dom,118.56,1720.07,1401.15,318.92
moheft_energy,tree,193.53,30336.92,6449.61,23887.31
moheft_energy,tree,193.93,30336.37,6433.98,23902.39
moheft_energy,tree,339.02,9793.64,6360.49,3433.15
moheft_energy,tree,339.81,9770.31,6336.94,3433.37
moheft_energy,tree,339.99,9737.16,6346.49,3390.67
moheft_energy,tree,342.97,9558.35,6357.91,3200.45
moheft_energy,tree,343.5,9537.16,6369.89,3167.27
