Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,trivial,176.24,18513.53,8496.03,10017.51
heft_test,stencil_1d,196.84,18883.53,8140.47,10743.05
heft_test,stencil_1d_periodic,193.9,18748.64,8108.74,10639.9
heft_test,dom,59.41,3944.51,1961.18,1983.33
heft_test,tree,192.92,16858.62,7225.13,9633.49
heft_test,fft,192.97,18693.15,8124.53,10568.62
heft_test,nearest,196.29,18890.49,8129.06,10761.43
heft_test,no_comm,194.41,18843.11,8102.98,10740.13
heft_test,spread -period 2,195.73,18877.96,8164.86,10713.1
heft_test,random_nearest,192.35,18560.38,8071.41,10488.97
moheft_energy,trivial,176.24,31405.06,8999.72,22405.34
moheft_energy,trivial,330.54,12444.26,4342.71,8101.56
moheft_energy,trivial,331.66,12441.06,4342.71,8098.35
moheft_energy,trivial,333.71,12436.07,4342.71,8093.36
moheft_energy,trivial,334.52,12430.16,4342.71,8087.46
moheft_energy,trivial,340.6,12381.0,4352.25,8028.75
moheft_energy,trivial,343.77,12369.41,4352.25,8017.16
moheft_energy,trivial,347.3,12352.3,4361.84,7990.46
moheft_energy,trivial,351.78,12311.94,4361.8,7950.14
moheft_energy,trivial,360.73,12283.26,4323.61,7959.64
moheft_energy,trivial,363.89,12282.99,4313.78,7969.22
moheft_energy,stencil_1d,196.16,32889.87,9369.93,23519.94
moheft_energy,stencil_1d,196.81,32883.06,9345.43,23537.63
moheft_energy,stencil_1d,197.0,32877.25,9345.43,23531.82
moheft_energy,stencil_1d,334.67,11370.61,3719.8,7650.81
moheft_energy,stencil_1d,347.89,10061.28,3462.78,6598.51
moheft_energy,stencil_1d,348.14,10060.19,3462.02,6598.17
moheft_energy,stencil_1d,348.14,10055.29,3462.02,6593.26
moheft_energy,stencil_1d,348.26,10054.71,3462.02,6592.69
moheft_energy,stencil_1d,348.32,10051.47,3462.02,6589.45
moheft_energy,stencil_1d,348.51,10022.28,3444.74,6577.54
moheft_energy,stencil_1d,351.7,10001.48,3458.96,6542.52
moheft_energy,stencil_1d_periodic,193.18,32804.23,9063.05,23741.17
moheft_energy,stencil_1d_periodic,193.98,32773.46,9053.45,23720.0
moheft_energy,stencil_1d_periodic,341.98,10964.71,3398.81,7565.9
moheft_energy,stencil_1d_periodic,342.53,10901.78,3431.69,7470.08
moheft_energy,stencil_1d_periodic,342.59,10868.63,3431.69,7436.94
moheft_energy,stencil_1d_periodic,346.44,10782.77,3366.45,7416.31
moheft_energy,stencil_1d_periodic,346.9,10780.3,3379.55,7400.75
moheft_energy,stencil_1d_periodic,353.99,9785.08,3260.25,6524.83
moheft_energy,stencil_1d_periodic,354.63,9762.57,3279.78,6482.79
moheft_energy,stencil_1d_periodic,354.97,9733.54,3250.08,6483.46
moheft_energy,stencil_1d_periodic,356.83,9726.66,3217.82,6508.84
moheft_energy,dom,61.41,5282.63,2018.18,3264.45
moheft_energy,dom,108.38,1794.83,460.47,1334.35
moheft_energy,dom,110.41,1793.61,469.09,1324.51
moheft_energy,dom,110.42,1789.93,465.37,1324.56
moheft_energy,dom,110.42,1767.93,454.59,1313.35
moheft_energy,dom,112.49,1766.74,460.22,1306.53
moheft_energy,dom,112.49,1752.56,457.3,1295.26
moheft_energy,dom,112.5,1741.07,445.81,1295.26
moheft_energy,dom,116.89,1730.0,377.73,1352.27
moheft_energy,dom,117.03,1724.56,366.63,1357.93
moheft_energy,dom,118.56,1720.07,369.32,1350.74
moheft_energy,tree,193.2,30666.45,7908.82,22757.64
moheft_energy,tree,322.91,11187.62,3650.97,7536.66
moheft_energy,tree,322.98,11154.64,3608.43,7546.2
moheft_energy,tree,323.08,11112.33,3565.74,7546.59
moheft_energy,tree,323.75,11046.03,3480.35,7565.68
moheft_energy,tree,326.19,11017.12,3401.35,7615.77
moheft_energy,tree,327.9,11004.14,3401.35,7602.8
moheft_energy,tree,330.95,10951.27,3411.18,7540.09
moheft_energy,tree,333.81,10942.87,3411.18,7531.68
moheft_energy,tree,339.6,10934.2,3396.1,7538.1
moheft_energy,tree,340.43,10933.91,3386.26,7547.65
moheft_energy,fft,193.59,32375.54,9232.62,23142.92
moheft_energy,fft,193.75,32348.2,9217.92,23130.28
moheft_energy,fft,329.84,10587.08,3680.48,6906.6
moheft_energy,fft,330.79,10576.3,3680.48,6895.82
moheft_energy,fft,330.9,10553.95,3690.04,6863.91
moheft_energy,fft,334.65,10355.54,3563.17,6792.37
moheft_energy,fft,334.75,10328.81,3520.88,6807.93
moheft_energy,fft,334.85,10326.87,3536.44,6790.43
moheft_energy,fft,335.03,10321.39,3538.76,6782.62
moheft_energy,fft,336.73,10300.89,3519.08,6781.8
moheft_energy,fft,336.79,10300.61,3519.08,6781.53
moheft_energy,nearest,196.16,32889.87,9369.93,23519.94
moheft_energy,nearest,196.81,32883.06,9345.43,23537.63
moheft_energy,nearest,197.0,32877.25,9345.43,23531.82
moheft_energy,nearest,334.67,11370.61,3719.8,7650.81
moheft_energy,nearest,347.89,10061.28,3462.78,6598.51
moheft_energy,nearest,348.14,10060.19,3462.02,6598.17
moheft_energy,nearest,348.14,10055.29,3462.02,6593.26
moheft_energy,nearest,348.26,10054.71,3462.02,6592.69
moheft_energy,nearest,348.32,10051.47,3462.02,6589.45
moheft_energy,nearest,348.51,10022.28,3444.74,6577.54
moheft_energy,nearest,351.7,10001.48,3458.96,6542.52
moheft_energy,no_comm,194.37,33948.15,9076.74,24871.41
moheft_energy,no_comm,194.45,33931.32,9076.74,24854.58
moheft_energy,no_comm,195.35,33896.99,9057.99,24839.0
moheft_energy,no_comm,195.9,33896.93,9094.39,24802.55
moheft_energy,no_comm,196.95,33891.29,9070.37,24820.92
moheft_energy,no_comm,333.3,11834.19,3596.1,8238.08
moheft_energy,no_comm,351.74,9908.72,3121.89,6786.83
moheft_energy,no_comm,353.28,9889.72,3125.49,6764.23
moheft_energy,no_comm,353.48,9853.19,3136.24,6716.94
moheft_energy,no_comm,353.48,9831.59,3102.06,6729.53
moheft_energy,spread -period 2,195.75,33222.36,8979.82,24242.54
moheft_energy,spread -period 2,196.47,33222.17,8985.26,24236.91
moheft_energy,spread -period 2,196.54,33192.96,8984.09,24208.87
moheft_energy,spread -period 2,332.46,11640.94,3692.94,7948.0
moheft_energy,spread -period 2,345.99,10124.92,3359.42,6765.51
moheft_energy,spread -period 2,345.99,10095.89,3359.42,6736.47
moheft_energy,spread -period 2,346.11,10045.41,3329.72,6715.7
moheft_energy,spread -period 2,346.32,10021.94,3309.7,6712.24
moheft_energy,spread -period 2,346.46,9991.27,3299.32,6691.95
moheft_energy,spread -period 2,346.85,9962.07,3280.42,6681.66
moheft_energy,spread -period 2,346.88,9941.16,3248.02,6693.14
moheft_energy,random_nearest,338.5,12748.98,3475.76,9273.23
moheft_energy,random_nearest,359.0,9815.47,3089.84,6725.63
moheft_energy,random_nearest,359.46,9796.72,3089.84,6706.88
moheft_energy,random_nearest,359.46,9768.89,3046.41,6722.48
moheft_energy,random_nearest,359.77,9766.39,3046.41,6719.98
moheft_energy,random_nearest,360.18,9726.69,2989.26,6737.44
moheft_energy,random_nearest,360.19,9699.98,2964.77,6735.2
moheft_energy,random_nearest,361.22,9695.28,2938.12,6757.16
