Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
heft_test,trivial,176.24,18513.53,3479.94,15033.59
heft_test,stencil_1d,194.0,18722.43,2223.86,16498.57
heft_test,stencil_1d_periodic,193.9,18748.64,2214.22,16534.42
heft_test,dom,59.41,3944.51,372.73,3571.78
heft_test,tree,192.88,16876.34,3021.6,13854.74
heft_test,fft,192.97,18694.83,2300.84,16393.99
heft_test,nearest,196.29,18890.49,2164.13,16726.36
heft_test,no_comm,194.41,18843.11,2178.31,16664.79
heft_test,spread -period 2,194.69,18785.24,2177.92,16607.33
heft_test,random_nearest,192.35,18560.22,2328.54,16231.67
moheft_energy,trivial,176.24,31405.06,4084.85,27320.21
moheft_energy,trivial,330.54,12444.26,4752.69,7691.57
moheft_energy,trivial,331.66,12441.06,4752.69,7688.36
moheft_energy,trivial,333.71,12436.07,4752.69,7683.38
moheft_energy,trivial,334.52,12430.16,4776.6,7653.57
moheft_energy,trivial,340.6,12381.0,4829.16,7551.85
moheft_energy,trivial,343.77,12369.41,4829.07,7540.35
moheft_energy,trivial,347.3,12352.3,4848.16,7504.14
moheft_energy,trivial,351.78,12311.94,4905.44,7406.5
moheft_energy,trivial,360.73,12283.26,4981.89,7301.36
moheft_energy,trivial,363.89,12282.99,4981.89,7301.1
moheft_energy,stencil_1d,196.16,32889.87,3253.13,29636.74
moheft_energy,stencil_1d,196.81,32883.06,3270.95,29612.11
moheft_energy,stencil_1d,197.0,32877.25,3270.95,29606.3
moheft_energy,stencil_1d,334.67,11370.61,3928.69,7441.92
moheft_energy,stencil_1d,347.89,10061.28,3795.68,6265.6
moheft_energy,stencil_1d,348.14,10060.19,3803.5,6256.69
moheft_energy,stencil_1d,348.14,10055.29,3803.5,6251.79
moheft_energy,stencil_1d,348.26,10054.71,3784.32,6270.39
moheft_energy,stencil_1d,348.32,10051.47,3796.98,6254.49
moheft_energy,stencil_1d,348.51,10022.28,3796.98,6225.3
