Task Id,Mean duration (seconds)
1,1063.002414503
2,1858.52791578
3,603.66682875
4,842.556885739
5,603.66682875
6,1081.236906135
7,1587.4917643610002
8,1587.4917643610002
9,1454.9757627820002
10,1202.397194064
11,603.66682875
12,1202.397194064
13,1454.9757627820002
14,1858.52791578
15,1063.002414503
16,1454.9757627820002
17,1081.236906135
18,603.66682875
19,944.2819178860001
20,1858.52791578
21,1063.002414503
22,1858.52791578
23,1081.236906135
24,1081.236906135
25,1431.847907741
26,842.556885739
27,842.556885739
28,1587.4917643610002
29,1202.397194064
30,944.2819178860001
31,1063.002414503
32,1858.52791578
33,944.2819178860001
34,1454.9757627820002
35,1587.4917643610002
36,603.66682875
37,944.2819178860001
38,1063.002414503
39,1858.52791578
40,1063.002414503
41,1858.52791578
42,842.556885739
43,944.2819178860001
44,1587.4917643610002
45,842.556885739
46,1431.847907741
47,1431.847907741
48,1081.236906135
49,1858.52791578
50,1081.236906135
51,1858.52791578
52,1202.397194064
53,1454.9757627820002
54,1081.236906135
55,1202.397194064
56,1202.397194064
57,1431.847907741
58,1454.9757627820002
59,842.556885739
60,1454.9757627820002
61,1081.236906135
62,944.2819178860001
63,1081.236906135
64,1063.002414503
65,1454.9757627820002
66,1858.52791578
67,603.66682875
68,944.2819178860001
69,1454.9757627820002
70,1454.9757627820002
71,944.2819178860001
72,1454.9757627820002
73,1081.236906135
74,1202.397194064
75,603.66682875
76,1587.4917643610002
77,1202.397194064
78,1587.4917643610002
79,1587.4917643610002
80,1587.4917643610002
81,603.66682875
82,1202.397194064
83,1858.52791578
84,842.556885739
85,1081.236906135
86,1587.4917643610002
87,842.556885739
88,1081.236906135
89,1063.002414503
90,1202.397194064
91,1587.4917643610002
92,842.556885739
93,1063.002414503
94,842.556885739
95,1202.397194064
96,1587.4917643610002
97,1431.847907741
98,1202.397194064
99,1063.002414503
100,842.556885739
101,944.2819178860001
102,603.66682875
103,944.2819178860001
104,1081.236906135
105,944.2819178860001
106,1587.4917643610002
107,1454.9757627820002
108,1454.9757627820002
109,1081.236906135
110,1202.397194064
111,842.556885739
112,1587.4917643610002
113,603.66682875
114,1063.002414503
115,842.556885739
116,1454.9757627820002
117,1431.847907741
118,1081.236906135
119,944.2819178860001
120,1063.002414503
121,1081.236906135
122,1202.397194064
123,1454.9757627820002
124,944.2819178860001
125,944.2819178860001
126,1431.847907741
127,1454.9757627820002
128,1431.847907741
129,944.2819178860001
130,1081.236906135
131,603.66682875
132,1858.52791578
133,1587.4917643610002
134,842.556885739
135,603.66682875
136,1202.397194064
137,842.556885739
138,1454.9757627820002
139,842.556885739
140,1202.397194064
141,1587.4917643610002
142,842.556885739
143,1858.52791578
144,1431.847907741
145,1063.002414503
146,1063.002414503
147,1454.9757627820002
148,842.556885739
149,944.2819178860001
150,1858.52791578
151,1454.9757627820002
152,944.2819178860001
153,1081.236906135
154,1858.52791578
155,944.2819178860001
156,944.2819178860001
157,1454.9757627820002
158,1454.9757627820002
159,1202.397194064
160,603.66682875
161,1202.397194064
162,1431.847907741
163,1454.9757627820002
164,1063.002414503
165,1858.52791578
166,1431.847907741
167,1081.236906135
168,1202.397194064
169,1454.9757627820002
170,1063.002414503
171,1858.52791578
172,1431.847907741
173,1063.002414503
174,1063.002414503
175,1587.4917643610002
176,1587.4917643610002
177,1454.9757627820002
178,1202.397194064
179,603.66682875
180,842.556885739
181,1202.397194064
182,1202.397194064
183,1202.397194064
184,1063.002414503
185,1202.397194064
186,842.556885739
187,842.556885739
188,944.2819178860001
189,1063.002414503
190,842.556885739
191,603.66682875
192,603.66682875
193,1587.4917643610002
194,1431.847907741
195,1081.236906135
196,1858.52791578
197,1587.4917643610002
198,1431.847907741
199,1202.397194064
200,1202.397194064
