Count,Standard Deviation,Mean,File name
2016,313.9009821456104,203.45882936507937,../data/splitted/photovolta_2016_part_1_0.csv
2016,256.1844266596753,155.7018849206349,../data/splitted/photovolta_2016_part_1_1.csv
2016,336.9618839000271,228.8844246031746,../data/splitted/photovolta_2016_part_1_2.csv
2016,348.53429872403865,249.0376984126984,../data/splitted/photovolta_2016_part_1_3.csv
2016,246.31827663488124,144.10863095238096,../data/splitted/photovolta_2016_part_1_4.csv
2016,275.86850857178956,181.98511904761904,../data/splitted/photovolta_2016_part_1_5.csv
2016,292.97809772739276,191.9970238095238,../data/splitted/photovolta_2016_part_1_6.csv
2016,252.85250432960729,166.12847222222223,../data/splitted/photovolta_2016_part_1_7.csv
2016,282.60686061890345,193.63194444444446,../data/splitted/photovolta_2016_part_1_8.csv
2016,250.9631832656709,159.125,../data/splitted/photovolta_2016_part_1_9.csv
2016,274.6310722924235,179.8125,../data/splitted/photovolta_2016_part_1_10.csv
2016,243.16293567689178,164.609623015873,../data/splitted/photovolta_2016_part_1_11.csv
2016,329.47594855090716,233.76785714285714,../data/splitted/photovolta_2016_part_1_12.csv
2016,383.1896490854669,280.4499007936508,../data/splitted/photovolta_2016_part_1_13.csv
2016,355.21956827208464,262.12301587301585,../data/splitted/photovolta_2016_part_1_14.csv
2016,305.94253147331364,215.06448412698413,../data/splitted/photovolta_2016_part_1_15.csv
2016,310.7570927508912,189.75496031746033,../data/splitted/photovolta_2016_part_1_16.csv
2016,382.2889296418256,288.5327380952381,../data/splitted/photovolta_2016_part_1_17.csv
2016,339.73444477769914,227.02876984126985,../data/splitted/photovolta_2016_part_1_18.csv
2016,368.85418854433755,266.78521825396825,../data/splitted/photovolta_2016_part_1_19.csv
2016,331.60677751940733,223.421626984127,../data/splitted/photovolta_2016_part_1_20.csv
2016,329.70799736028096,217.53521825396825,../data/splitted/photovolta_2016_part_1_21.csv
2016,212.6179266719533,115.12152777777777,../data/splitted/photovolta_2016_part_1_22.csv
2016,282.97716841599765,179.4404761904762,../data/splitted/photovolta_2016_part_1_23.csv
2016,237.5119774629049,129.78174603174602,../data/splitted/photovolta_2016_part_1_24.csv
2016,234.8375278937907,138.3720238095238,../data/splitted/photovolta_2016_part_1_25.csv
2016,195.78605227691338,97.90873015873017,../data/splitted/photovolta_2016_part_1_26.csv
2016,207.04732755724197,98.4484126984127,../data/splitted/photovolta_2016_part_1_27.csv
786,149.94738199117393,74.68829516539441,../data/splitted/photovolta_2016_part_1_28.csv
